Ticker,Stock Parameter
STD (STANDREW),STANDREW
STF (STALPROFI),STALPROFIL
STH (STSHOLDING),STH
STI (STILO),STI
STP (STALPROD),STALPRODUKT
STS (SATIS),STS
STX (STALEXP),STALEXPORT-AUTOSTRADY
SUN (SUNTECH),SUNTECH
SUW (SUWARY),SUWARY
SVE (SNTVERSE),BIOMED-LUBLIN
SVRS (SILVAIR-REGS),SVRS
SWG (SECOGROUP),SECO-WARWICK
SWT (SWALLET),SWT
SYG (SYGNIS),SYG
SZR (SZAR),SZAR
T2P (TERMO2PWR),TERMO2PWR
TAR (TARCZYNSKI),TARCZYNSKI
TBL (TBULL),TBL
TEN (TSGAMES),TEN
TGG (TRIGGO),TGG
TGS (TRUEGS),TGS
THD (THEDUST),THD
THG (TENDERHUT),THG
TIM,TIM
TLG (TELGAM),TELGAM
TLO (TELESTO),TELESTO
TLS (TELESTR),TELESTRADA
TLX (TALEX),TALEX
TME (TERMOEXP),TERMOEXPERT
TMP (TELEMEDPL),TELEMEDYCYNA
TMR (TATRY),TATRY-MOUNTAIN-RESORTS
TOA (TOYA),TOYA
TOR (TORPOL),TORPOL
TOS (TAMEX),TAMEX
TOW (TOWERINVT),TOW
TPE (TAURONPE),TAURON
TRI (TRITON),TRITON-DEVELOPMENT
TRK (TRAKCJA),TRAKCJA
TRN (TRANSPOL),TRANS-POLONIA
TRR (TERMOREX),TERMO-REX
TSG (TESGAS),TESGAS
TXN (TAXNET),TAX-NET
U2K (UNIMA),UNIMA-2000
UCG (UNICREDIT),UNICREDIT
UFC (UNIFIED),UFC
UFG (UFGAMES),UFG
ULG (ULTGAMES),ULG
ULM (ULMA),ULMA-CONSTRUCCION
UNF (UNFOLD),UNF
UNI (UNIBEP),UNIBEP
UNL (UNILABGAM),UNL
UNT (UNIMOT),UNIMOT-GAZ
UNV (UNIVERSE),ALDA
URT (URTESTE),URT
VAR (VARSAV),VAR
VDS (VIDIS),VIDIS
VEE,VEE
VER (MPLVERBUM),MPL-VERBUM
VFA (VRFABRIC),VFA
VGO (VIGOPHOTN),VGO
VIA (VIATRON),VIATRON
VIN (VINDEXUS),VINDEXUS
VIV (VISION),VIRTUAL-VISION
VKT (VAKOMTEK),VAKOMTEK
VLT (VOOLT),VLT
VOT (VOTUM),VOTUM
VOW (VOLKSWAGEN),VOW
VOX (VOXEL),VOXEL
VRB (VERBICOM),VERBICOM
VRC (VERCOM),VRC
VRF (VRFACTORY),VRF
VRG,VRG
VTL (VISTAL),VISTAL
VVD (VIVID),VIVID-GAMES
WAS (WASKO),WASKO
WAT,WAT
WHH (WERTHHOLZ),WERTH-HOLZ
WIK (WIKANA),WIKANA
WIS (WINVEST),WIS
WLT (WIELTON),WIELTON
WOD (WODKAN),WODKAN
WOJ (WOJAS),WOJAS
WPL (WIRTUALNA),WIRTUALNA-POLSKA
WPR (WOODPCKR),WPR
WRE (WESTREAL),WEST-REAL-ESTATE
WRL (WIERZYCL),WIERZYCIEL
WTN (WITTCHEN),WTN
WWL (WAWEL),WAWEL
WXF (WARIMPEX),WARIMPEX
XBS (XBSPROLOG),XBS
XPL (XPLUS),XPLUS
XTB,XTB
XTP (XTPL),XTP
YAN (NEPTIS),NEPTIS
YBS (YELLOWBOS),YBS
YOL (YOLO),YOLO
YOS (YOSHI),YOS
YTF (YETIFORCE),YTF
ZAL (ZALANDO),ZAL
ZAP (PULAWY),ZAKLADY-AZOTOWE-PULAWY
ZEN (ZENERIS),ZEN
ZEP (ZEPAK),ZEPAK
ZMT (ZAMET),ZAMET-INDUSTRY
ZRE (ZREMB),ZREMB-CHOJNICE
ZRX (ZORTRAX),ZRX
ZUE,ZUE
ZUK (STAPORKOW),STAPORKOW
